id_mutation,distance_transport_m,est_metro_proche,mode_arret_proche
232,114.8,0,lineo
233,288.3,0,bus
234,110.1,0,lineo
235,158.8,0,lineo scolaire
236,86.9,0,bus
237,240.5,0,bus
238,65.5,0,lineo scolaire
239,65.5,0,lineo scolaire
240,65.5,0,lineo scolaire
241,65.5,0,lineo scolaire
242,65.5,0,lineo scolaire
243,84.0,0,bus lineo
244,85.6,0,bus lineo
245,97.4,0,bus
246,144.8,0,bus
247,61.8,1,metro
248,91.5,0,bus
249,27.4,0,bus
250,243.3,0,bus
251,347.5,0,bus
252,204.3,0,bus lineo
253,52.4,0,bus
254,239.8,0,lineo scolaire
255,123.9,0,bus
256,43.5,0,bus
257,129.0,0,tram
258,96.7,0,bus
259,56.5,0,bus
260,97.3,0,bus
261,170.8,0,bus scolaire
262,86.8,0,bus
263,127.2,0,lineo scolaire
264,296.1,0,bus
265,25.3,0,bus
266,75.7,0,lineo
267,220.7,0,bus
268,46.5,0,bus
269,111.2,0,bus
270,107.1,0,bus
271,166.4,1,metro
272,79.2,0,bus
273,129.0,0,tram
274,109.2,0,bus
275,148.0,0,bus
276,98.5,0,bus lineo
277,103.5,0,bus
278,120.9,0,bus
279,96.8,0,bus
280,64.9,0,bus lineo
281,231.8,1,metro
282,123.8,0,bus
283,156.5,1,metro
284,77.3,0,bus
285,248.9,0,bus lineo
286,122.0,1,metro
287,263.5,0,lineo
288,117.0,1,metro
289,217.8,1,metro
290,69.3,0,scolaire
291,132.3,0,bus
292,178.8,0,bus
293,91.8,1,metro
294,233.6,0,bus
295,89.1,0,bus scolaire
296,46.8,0,bus
297,137.5,0,bus
298,197.3,0,bus
299,76.8,0,bus
300,179.7,0,bus lineo
301,54.4,0,bus
302,32.0,0,bus
303,49.6,0,lineo
304,61.4,0,bus scolaire
305,91.6,0,bus lineo
306,7.1,0,bus
307,108.7,0,bus lineo
308,129.3,0,bus
309,122.9,0,lineo
310,98.3,0,bus
311,23.1,0,lineo
312,99.5,0,lineo
313,84.5,0,bus
314,84.5,0,bus
315,136.7,0,bus lineo
316,316.5,0,bus
317,240.9,0,bus
318,15.0,0,bus
319,94.3,0,bus
320,148.6,0,bus lineo
321,118.7,0,bus
322,116.9,0,bus
323,77.9,0,bus
324,154.0,0,bus lineo
325,182.2,1,metro
326,179.7,1,metro
327,218.1,0,bus lineo
328,159.9,0,bus
329,168.9,0,bus lineo
330,53.6,0,bus
331,251.4,0,bus lineo
332,42.7,0,bus
333,189.8,0,bus lineo
334,117.8,0,bus scolaire
335,145.3,0,bus
336,122.7,0,lineo
337,256.1,0,bus lineo
338,33.3,1,metro
339,36.7,0,bus
340,116.4,0,bus
341,285.7,0,bus scolaire
342,278.7,0,bus
343,89.3,0,bus
344,207.9,0,bus
345,138.3,0,bus
346,192.4,0,bus lineo
347,103.6,0,bus
348,125.2,0,bus lineo scolaire
349,188.5,0,bus
350,127.7,0,bus scolaire
351,111.9,0,bus
352,185.0,0,bus
353,181.3,0,bus
354,167.1,0,bus
355,42.9,0,bus
356,147.5,0,bus
357,11.9,0,bus
358,400.8,0,bus
359,119.7,0,bus
360,296.8,0,bus
361,151.4,0,bus
362,151.4,0,bus
363,101.0,0,bus
364,302.3,0,lineo
365,76.2,0,bus
366,172.3,0,bus lineo scolaire
367,156.5,0,bus lineo
368,92.7,0,bus
369,143.6,0,bus
370,142.8,0,bus
371,294.2,0,bus lineo
372,82.3,0,lineo
373,239.6,1,metro
374,344.2,0,lineo
375,116.3,0,bus
376,84.7,0,bus
377,193.3,0,bus lineo
378,289.5,0,lineo scolaire
379,83.9,0,bus
380,56.3,0,bus
381,200.3,0,lineo scolaire
382,89.8,0,lineo
383,98.8,0,bus lineo
384,110.0,0,bus lineo
385,125.7,0,bus
386,61.2,1,metro
387,275.5,0,bus lineo
388,236.4,0,scolaire
389,161.3,0,bus
390,35.7,0,bus lineo
391,187.4,0,lineo scolaire
392,170.4,0,bus
393,139.0,0,bus lineo
394,33.1,0,bus
395,29.2,0,bus
396,96.8,0,bus lineo
397,187.5,0,bus lineo
398,217.8,0,bus
399,188.2,0,bus lineo
400,226.5,0,bus
401,174.5,0,bus
402,212.8,0,bus
403,90.7,0,bus
404,68.7,1,metro
405,232.0,0,bus scolaire
406,86.9,0,bus lineo
407,53.0,0,bus
408,53.0,0,bus
409,126.4,0,tram
410,106.1,0,bus
411,281.3,0,bus
412,121.4,0,bus lineo scolaire
413,412.2,0,lineo
414,196.8,0,bus
415,89.3,0,bus lineo
416,61.2,0,bus
417,67.7,0,bus
418,136.7,0,bus
419,136.7,0,bus
420,136.7,0,bus
421,122.3,0,bus
422,178.8,1,metro
423,203.5,0,bus
424,133.8,0,bus
425,22.2,0,bus
426,54.9,0,bus
427,281.6,0,bus
428,62.3,0,bus
429,172.3,0,bus
430,221.1,0,bus scolaire
431,146.5,0,lineo scolaire
432,235.8,0,bus
433,123.9,0,bus lineo
434,88.0,0,bus
435,166.4,0,lineo scolaire
436,353.8,0,bus
437,353.8,0,bus
438,353.8,0,bus
439,353.8,0,bus
440,68.1,0,bus
441,115.9,0,lineo
442,133.1,0,lineo
443,55.7,0,bus
444,231.8,1,metro
445,70.8,0,bus
446,99.1,0,bus lineo
447,29.5,0,bus
448,76.9,0,bus
449,27.6,0,bus lineo
450,45.9,0,bus lineo
451,249.4,0,lineo
